Team,Golfer,Jan 26-29 Farmers Insurance Open,Feb 2-5 Waste Management Phoenix Open ,Feb 9-12 AT&T Pebble Beach Pro-Am,Feb 16-19  Genesis Open ,Feb 23-26  Honda Classic,Mar 2-5 WGC-Mexico Championship ,Mar 9-12  Valspar Champion,Mar 16-19  Arnold Palmer Invitational,Mar 22-26  WGC-Dell Match Play,Mar 30-Apr 2  Shell Houston Open,Apr 6-9  Masters,Apr 13-16  RBC Heritage,Apr 20-23  Valero Texas Open,Apr 27-30  Zurich Classic of New Orleans,May 4-7  Wells Fargo Championship,May 11-14  The Players Championship,May 18-21  AT&T Byron Nelson,May 25-28  Dean & DeLuca Invitational,Jun 1-4  Memorial Tournament,Jun 8-11  FedEx St. Jude Classic,Jun 15-18  U.S. Open,Jun 22-25  Travelers Championship,Jun 29-Jul 2  Quicken Loans National,Jul 6-9  The Greenbrier Classic,Jul 13-16  John Deere Classic,Jul 20-23  British Open,Jul 20-23  Barbasol Championship ,Jul 27-30  RBC Canadian Open,Aug 3-6  WGC-Bridgestone Invitational,Aug 10-13  PGA Championship,Aug 17-20  Wyndham Championship,Aug 24-27  The Northern Trust,Sep 1-4  Deutsche Bank Championship,Sep 14-17  BMW Championship,Sep 21-24  Tour Championship
Dan Schultz,Hideki Matsuyama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dan Schultz,Justin Rose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dan Schultz,Justin Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dan Schultz,Rory McIlroy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dixon Bounce,Brandt Snedeker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dixon Bounce,"Harold Varner, III",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dixon Bounce,Henrik Stenson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dixon Bounce,Hideki Matsuyama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dixon Bounce,Jim Furyk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dixon Bounce,Rory McIlroy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eighteen Birdies,Chris Kirk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eighteen Birdies,Dustin Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eighteen Birdies,Hideki Matsuyama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eighteen Birdies,Justin Rose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eighteen Birdies,Justin Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eighteen Birdies,Rickie Fowler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frank M,Brooks Koepka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frank M,Chris Kirk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frank M,Dustin Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frank M,Hideki Matsuyama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frank M,Justin Rose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frank M,Justin Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Give Me An 8,Brooks Koepka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Give Me An 8,Charles Howell III,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Give Me An 8,Dustin Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Give Me An 8,Jimmy Walker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Give Me An 8,Justin Rose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Give Me An 8,Justin Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gretzky's Gallery,Charles Howell III,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gretzky's Gallery,Dustin Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gretzky's Gallery,Justin Rose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gretzky's Gallery,Justin Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gretzky's Gallery,Rickie Fowler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gretzky's Gallery,Si Woo Kim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-Town Bites,Brooks Koepka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-Town Bites,Hideki Matsuyama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-Town Bites,Justin Rose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
