"","lng","lat"
"500",-118.063898,33.983719
"501",-118.1517438,34.1158289
"502",-118.2827924,34.0416488
"503",-118.2581195,33.804411
"504",-118.278168,33.785706
"505",-118.3152716,33.8351803
"506",-118.304537,33.8453566
"507",-118.345269,33.920699
"508",-118.3515401,33.8815623
"509",-118.210791,33.794462
"510",-118.253708,33.95026
"511",-118.2887946,33.7294755
"512",-118.1750913,33.7751647
"513",-118.268668,33.810397
"514",NA,NA
"515",-118.3442666,33.9475766
"516",-118.1348661,33.8727999
"517",-118.2736622,33.7729664
"518",-118.070575,33.837489
"519",-118.3132085,33.9752391
"520",-118.2972965,33.7224673
"521",-117.745048,34.1138959
"522",-118.162364,33.842538
"523",-118.0698601,33.8351105
"524",-118.294882,33.723629
"525",-118.0823436,33.9293895
"526",-117.977088,33.750367
"527",-118.11344,33.843717
"528",-118.223029,33.8314359
"529",-117.294846,33.949301
"530",NA,NA
"531",-118.3059759,33.7970024
"532",-117.540136,33.971902
"533",-118.0062696,33.8861475
"534",-117.168999,33.913103
"535",-117.938486,33.84266
"536",-118.2143847,33.8856547
"537",-118.314951,33.862283
"538",-118.198781,34.616857
"539",-118.198462,33.790757
"540",-118.149662,33.849803
"541",-118.165834,33.852083
"542",-118.357823,33.859315
"543",-118.300393,33.72131
"544",-117.4231835,34.1583286
"545",-118.279995,33.787483
"546",-118.19289,33.79642
"547",-118.275947,33.79542
"548",-118.186963,33.7922036
"549",-117.254955,34.386232
"550",-118.297763,34.015119
"551",-118.3055716,33.7535109
"552",-118.2666284,33.8320538
"553",-117.796581,34.1233189
"554",-118.27162,33.778274
"555",-117.257122,33.966382
"556",-118.2965892,33.7921469
"557",-117.990876,33.763707
"558",-118.139992,33.856204
"559",-118.2461561,33.8872678
"560",-118.286482,33.74666
"561",-118.259946,33.793747
"562",-118.2721218,33.8303947
"563",-118.294261,33.982983
"564",-117.6321952,33.656563
"565",-118.349016,34.018206
"566",-117.8986899,33.8518924
"567",-118.175097,33.863573
"568",-65.629579,43.586469
"569",-114.852353,35.973503
"570",-118.277114,33.813148
"571",-118.271829,33.778511
"572",-118.1321187,33.8945034
"573",-118.123811,33.844193
"574",-118.0790317,33.9027027
"575",-118.021513,33.789647
"576",-117.947135,33.937112
"577",-118.296759,33.876159
"578",-118.319546,33.793771
"579",-118.31842,33.862792
"580",-118.215884,33.8069009
"581",-117.528148,33.84319
"582",-118.2642757,33.8234975
"583",-158.10944,21.34123
"584",-117.339306,33.916945
"585",-118.192536,33.863334
"586",-97.346836,33.256618
"587",-118.289817,33.743873
"588",-117.299492,34.464818
"589",-117.883901,33.927621
"590",-118.246687,33.7932119
"591",-117.2398677,33.9236404
"592",-118.228348,33.894683
"593",-118.1279327,33.829389
"594",-117.329286,34.077886
"595",-118.4180105,33.9175975
"596",-118.1871146,33.8890561
"597",-118.295464,33.844455
"598",-118.291621,33.818109
"599",-119.0484579,35.3665656
"600",-118.197529,33.9299
"601",-117.212086,33.893313
"602",-118.3881438,33.8490244
"603",-118.263151,33.855339
"604",-118.095491,33.79056
"605",-118.334391,33.956569
"606",-83.235152,42.10334
"607",-118.086526,33.844612
