"Respondent","Applied_Time","ApplicantID","how_hear","Applicant","app_day"
677,2017-03-18 17:21:30,"B4156","Personal referral","Yes",11.7232638888889
327,2017-03-11 23:41:22,"L9607","Tesoro employee","Yes",4.98706018518794
876,2017-03-21 14:27:33,"H3401","Tesoro website or mailing","Yes",14.6024652777778
749,2017-03-20 00:40:08,"B2993","Indeed.com","Yes",13.0278819444417
872,2017-03-21 13:51:31,"S7753","Tesoro employee","Yes",14.5774421296296
676,2017-03-18 17:20:25,"H3956","Tesoro employee","Yes",11.7225115740741
433,2017-03-13 22:11:25,"W6967","Indeed.com","Yes",6.92459490741017
689,2017-03-18 19:38:50,"P0211","Personal referral","Yes",11.8186342592593
895,2017-03-21 20:23:01,"G4509","Tesoro employee","Yes",14.8493171296296
702,2017-03-19 00:16:40,"H8852","Tesoro website or mailing","Yes",12.0115740740741
224,2017-03-09 20:52:14,"A3370","Personal referral","Yes",2.869606481487
820,2017-03-20 21:51:19,"W3938","Indeed.com","Yes",13.9106365740741
392,2017-03-13 12:06:12,"T2150","Indeed.com","Yes",6.50430555555832
325,2017-03-11 22:41:10,"N5035","Tesoro employee","Yes",4.94525462962963
892,2017-03-21 17:54:51,"P2865","Tesoro employee","Yes",14.7464236111111
522,2017-03-15 05:36:58,"H3262","Tesoro website or mailing","Yes",8.23401620370094
858,2017-03-21 02:49:41,"L0919","I am currently an employee or contractor at Tesoro","Yes",14.1178356481481
719,2017-03-19 14:13:21,"F2632","Tesoro website or mailing","Yes",12.5926041666667
183,2017-03-09 13:47:52,"M6026","Tesoro website or mailing","Yes",2.57490740741293
888,2017-03-21 16:58:10,"M4141","Indeed.com","Yes",14.7070601851879
329,2017-03-12 00:03:00,"P2351","Tesoro website or mailing","Yes",5.00208333333333
819,2017-03-20 21:49:53,"S6473","Personal referral","Yes",13.9096527777723
793,2017-03-20 16:48:21,"S3696","Indeed.com","Yes",13.7002546296269
598,2017-03-16 21:55:33,"J5900","Tesoro website or mailing","Yes",9.91357638889165
526,2017-03-15 10:29:37,"J1451","I am currently an employee or contractor at Tesoro","Yes",8.43723379629906
656,2017-03-18 04:52:04,"F4691","Indeed.com","Yes",11.2028240740768
668,2017-03-18 15:55:17,"B7128","Tesoro website or mailing","Yes",11.663402777775
