"","Applied_Time","How_hear","Education","ApplicantID","Applicant","app_day","day_bin"
"1",2017-01-11 10:18:29,"I am currently an employee or contractor at Tesoro","Bachelor's Degree",NA,"No",0.429502314814815,"1"
"2",2017-01-11 14:17:33,"Tesoro employee","High School Diploma or GED",NA,"No",0.595520833333333,"1"
"3",2017-01-11 18:11:07,"Personal referral (i.e. word of mouth)","Associate's Degree","R1599","Yes",0.757719907407407,"1"
"4",2017-01-11 19:03:34,"Employment agency","Did not graduate from high school",NA,"No",0.794143518518518,"1"
"5",2017-01-11 19:13:07,"I am currently an employee or contractor at Tesoro","High School Diploma or GED","F4855","Yes",0.800775462962963,"1"
"6",2017-01-11 19:36:41,"I am currently an employee or contractor at Tesoro","Associate's Degree","O8810","Yes",0.817141203703704,"1"
"7",2017-01-11 20:00:58,"Personal referral (i.e. word of mouth)","Associate's Degree","C6432","Yes",0.83400462962963,"1"
"8",2017-01-11 20:05:27,"Indeed.com","Bachelor's Degree",NA,"No",0.837118055555556,"1"
"9",2017-01-11 20:48:12,"Tesoro employee","High School Diploma or GED","R7700","Yes",0.866805555555556,"1"
"10",2017-01-11 20:50:13,"Job training program","High School Diploma or GED","D1956","Yes",0.868206018518519,"1"
"11",2017-01-11 21:14:40,"Personal referral (i.e. word of mouth)","High School Diploma or GED","B1328","Yes",0.885185185185185,"1"
"12",2017-01-11 21:23:24,"Personal referral (i.e. word of mouth)","High School Diploma or GED",NA,"No",0.89125,"1"
"13",2017-01-11 21:36:33,"Personal referral (i.e. word of mouth)","Did not graduate from high school",NA,"No",0.900381944444444,"1"
"14",2017-01-11 22:30:22,"Tesoro employee","High School Diploma or GED",NA,"No",0.93775462962963,"1"
"15",2017-01-11 23:01:09,"Indeed.com","High School Diploma or GED","C9344","Yes",0.959131944444444,"1"
"16",2017-01-11 23:06:40,"Indeed.com","High School Diploma or GED",NA,"No",0.962962962962963,"1"
"17",2017-01-11 23:11:20,"Tesoro website or mailing","High School Diploma or GED",NA,"No",0.966203703703704,"1"
"18",2017-01-11 23:14:30,"Personal referral (i.e. word of mouth)","High School Diploma or GED",NA,"No",0.968402777777778,"1"
"19",2017-01-11 23:21:38,"Indeed.com","High School Diploma or GED",NA,"No",0.973356481481481,"1"
"20",2017-01-12 09:45:22,"I am currently an employee or contractor at Tesoro","High School Diploma or GED","B1657","Yes",1.40650462962963,"2"
"21",2017-01-12 11:18:22,"Personal referral (i.e. word of mouth)","High School Diploma or GED",NA,"No",1.47108796296296,"2"
"22",2017-01-12 11:56:10,"Indeed.com","Associate's Degree",NA,"No",1.49733796296296,"2"
"23",2017-01-12 13:01:36,"Personal referral (i.e. word of mouth)","High School Diploma or GED","G9209","Yes",1.54277777777778,"2"
"24",2017-01-12 13:05:19,"Tesoro employee","Associate's Degree","C0639","Yes",1.5453587962963,"2"
"25",2017-01-12 14:22:57,"Personal referral (i.e. word of mouth)","High School Diploma or GED","R0742","Yes",1.59927083333333,"2"
"26",2017-01-12 15:12:39,"Personal referral (i.e. word of mouth)","High School Diploma or GED",NA,"No",1.63378472222222,"2"
"27",2017-01-12 16:01:08,"I am currently an employee or contractor at Tesoro","High School Diploma or GED","F5307","Yes",1.6674537037037,"2"
"28",2017-01-12 20:08:52,"Personal referral (i.e. word of mouth)","High School Diploma or GED",NA,"No",1.83949074074074,"2"
"29",2017-01-12 20:13:24,"Personal referral (i.e. word of mouth)","Associate's Degree",NA,"No",1.84263888888889,"2"
"30",2017-01-12 20:51:02,"Tesoro employee","Associate's Degree","P7869","Yes",1.86877314814815,"2"
"31",2017-01-12 21:23:37,"I am currently an employee or contractor at Tesoro","High School Diploma or GED","T8249","Yes",1.89140046296296,"2"
"32",2017-01-12 21:41:28,"Indeed.com","High School Diploma or GED",NA,"No",1.9037962962963,"2"
"33",2017-01-12 23:46:15,"Social media (e.g. Facebook or Twitter)","High School Diploma or GED",NA,"No",1.99045138888889,"2"
"34",2017-01-13 01:02:23,"Personal referral (i.e. word of mouth)","High School Diploma or GED",NA,"No",2.04332175925926,"3"
"35",2017-01-13 02:06:32,"Tesoro employee","Bachelor's Degree",NA,"No",2.08787037037037,"3"
"36",2017-01-13 05:00:11,"Personal referral (i.e. word of mouth)","Associate's Degree",NA,"No",2.20846064814815,"3"
"37",2017-01-13 09:18:21,"Tesoro employee","High School Diploma or GED",NA,"No",2.38774305555556,"3"
"38",2017-01-13 10:57:41,"I am currently an employee or contractor at Tesoro","High School Diploma or GED","H2535","Yes",2.45672453703704,"3"
"39",2017-01-13 11:41:40,"Indeed.com","Associate's Degree",NA,"No",2.48726851851852,"3"
