"Respondent","Applied_Time","ApplicantID","how_hear","Applicant","app_day"
253,2017-10-06 02:05:34,"C0766","Personal referral","Yes",2.08719907407407
254,2017-10-06 02:38:10,"F3529","Personal referral","Yes",2.10983796296296
255,2017-10-06 02:51:25,NA,"Personal referral","No",2.11903935185185
256,2017-10-06 02:56:16,"G5341","Andeavor employee","Yes",2.12240740740741
257,2017-10-06 03:02:10,"B8180","Andeavor employee","Yes",2.12650462962963
258,2017-10-06 03:07:13,"D9027","Personal referral","Yes",2.13001157407407
259,2017-10-06 03:07:15,"T8534","Andeavor employee","Yes",2.13003472222222
260,2017-10-06 03:11:57,"P2014","Social media (e.g. Facebook or Twitter)","Yes",2.13329861111111
261,2017-10-06 03:12:42,"H2185","Personal referral","Yes",2.13381944444444
262,2017-10-06 03:17:19,"C7919","Social media (e.g. Facebook or Twitter)","Yes",2.13702546296296
263,2017-10-06 03:49:01,"N4942","Andeavor employee","Yes",2.15903935185185
264,2017-10-06 06:48:29,"T3969","Personal referral","Yes",2.28366898148148
265,2017-10-06 08:18:47,"T2130","Andeavor employee","Yes",2.34637731481481
266,2017-10-06 09:24:12,"K6140","Indeed.com","Yes",2.39180555555556
267,2017-10-06 10:07:34,"P8922","Personal referral","Yes",2.4219212962963
268,2017-10-06 12:04:03,"P2414","Social media (e.g. Facebook or Twitter)","Yes",2.5028125
269,2017-10-06 12:28:56,"P0453","Personal referral","Yes",2.52009259259259
270,2017-10-06 13:22:50,"C8066","Personal referral","Yes",2.55752314814815
271,2017-10-06 13:24:31,"C0531","Personal referral","Yes",2.55869212962963
272,2017-10-06 13:24:57,NA,"Personal referral","No",2.55899305555556
273,2017-10-06 13:47:41,"A5342","Don't remember","Yes",2.57478009259259
274,2017-10-06 14:20:31,"S5085","Personal referral","Yes",2.59758101851852
275,2017-10-06 16:04:07,"R1658","Personal referral","Yes",2.66952546296296
276,2017-10-06 16:05:15,"N4280","Indeed.com","Yes",2.6703125
277,2017-10-06 16:09:20,"D2845","Employment agency","Yes",2.67314814814815
278,2017-10-06 16:13:12,"G7402","Andeavor employee","Yes",2.67583333333333
279,2017-10-06 16:36:26,"A9516","Andeavor employee","Yes",2.69196759259259
280,2017-10-06 16:44:09,"L1451","Personal referral","Yes",2.69732638888889
281,2017-10-06 17:11:49,"Z0159","Andeavor employee","Yes",2.71653935185185
282,2017-10-06 17:22:06,"L2106","Social media (e.g. Facebook or Twitter)","Yes",2.72368055555556
283,2017-10-06 17:22:18,"B4806","Job training program","Yes",2.72381944444444
284,2017-10-06 17:25:41,"F3712","Andeavor employee","Yes",2.72616898148148
285,2017-10-06 17:33:21,"F8144","Personal referral","Yes",2.73149305555556
286,2017-10-06 17:41:21,"W2996","Indeed.com","Yes",2.73704861111111
287,2017-10-06 17:51:34,"A2490","Personal referral","Yes",2.74414351851852
288,2017-10-06 18:19:10,"G4802","Personal referral","Yes",2.76331018518519
289,2017-10-06 18:28:04,"M0717","Personal referral","Yes",2.76949074074074
290,2017-10-06 18:33:15,"P3040","Personal referral","Yes",2.77309027777778
291,2017-10-06 19:04:05,"S0439","Personal referral","Yes",2.79450231481482
292,2017-10-06 19:55:58,"S1494","Andeavor employee","Yes",2.83053240740741
293,2017-10-06 20:01:21,"P5881","I am currently an employee or contractor at Andeavor","Yes",2.83427083333333
294,2017-10-06 20:06:24,"P7857","Personal referral","Yes",2.83777777777778
295,2017-10-06 20:13:43,"C6381","Personal referral","Yes",2.8428587962963
296,2017-10-06 21:17:43,"D6227","Personal referral","Yes",2.88730324074074
297,2017-10-06 21:21:28,"G1956","Andeavor employee","Yes",2.88990740740741
298,2017-10-06 21:25:07,"A8086","Social media (e.g. Facebook or Twitter)","Yes",2.89244212962963
299,2017-10-06 21:34:13,"H7304","Personal referral","Yes",2.89876157407407
300,2017-10-06 22:01:05,"C5176","Indeed.com","Yes",2.91741898148148
301,2017-10-06 22:02:32,"V5000","I am currently an employee or contractor at Andeavor","Yes",2.91842592592593
302,2017-10-06 22:37:52,"P6326","Social media (e.g. Facebook or Twitter)","Yes",2.94296296296296
303,2017-10-06 22:45:31,"G7695","I am currently an employee or contractor at Andeavor","Yes",2.94827546296296
304,2017-10-06 23:07:45,"R8069","Personal referral","Yes",2.96371527777778
305,2017-10-07 00:11:07,"Z3889","Indeed.com","Yes",3.00771990740741
306,2017-10-07 00:38:02,"M7742","Social media (e.g. Facebook or Twitter)","Yes",3.02641203703704
